餐廳名稱,Ranking,評論數,餐廳類型,餐廳區域,電話,地址
重修舊好,4.9,62,餐廳,台北市中正區,02 2370 7886,100台北市中正區南陽街23巷1號
大嗑西式餐館,4.5,"1,610",西部料理,台北市中正區,02 2394 8810,100台北市中正區濟南路二段18-3號
Psalms Cafe詩篇咖啡餐廳,4.5,"1,165",餐廳,台北市中正區,02 2382 2666,100台北市中正區中山南路20號B1
翡冷翠義式餐廳,4.3,"1,473",意大利菜,台北市中正區,02 2375 9977,100台北市中正區漢口街一段15號1樓
北海漁村 台北杭州店,4.1,"1,578",海鮮,台北市中正區,02 2357 6188,100台北市中正區杭州南路一段8號
山海樓,4.1,"1,202",台灣菜,台北市中正區,02 2351 3345,100台北市中正區仁愛路二段94號
蘭苑私廚 Orchid Court,4.4,231,餐廳,台北市中正區,0933 216 231,100台北市中正區金華街30巷1號
雙月食品社 濟南店 台北 善導寺 中正區｜雞湯 養生湯品 傳統美食 滷味 餐廳/外帶/外送,4.4,772,餐廳,台北市中正區,02 3393 8952,100台北市中正區濟南路一段7號1樓
蘇杭餐廳,4.1,"1,812",上海料理,台北市中正區,02 2396 3186,100台北市中正區濟南路一段2-1號
雙月食品社 青島店 台北 中正區｜雞湯 養生湯品 傳統美食 滷味 餐廳/外帶/外送,4.3,"3,778",台灣菜,台北市中正區,02 3393 8953,100台北市中正區青島東路6之2號
家食堂,4.3,164,餐廳,台北市中正區,02 2341 5684,100台北市中正區南昌路一段96號二樓
貳樓餐廳 Second Floor Cafe 仁愛店,4.3,"5,532",美國菜,台北市中正區,02 2357 9222,100台北市中正區仁愛路二段108號
晴天廚房,4.3,"1,578",食堂與定食餐廳,台北市中正區,02 2396 8689,100台北市中正區寧波東街11-2號
HALOA POKE 夏威夷拌飯 南陽店,4.5,735,夏威夷料理,台北市中正區,02 2388 3555,100台北市中正區南陽街25號
肉球森林,4.8,"1,104",餐廳,台北市中正區,NA,100台北市中正區新生南路一段160巷22-1號1樓
best義pasta食堂,4.4,830,北義大利料理,台北市中正區,02 2370 2568,100台北市中正區南陽街3號2樓
台北喜來登大飯店 - 比薩屋 PizzaPub,4.2,804,意大利菜,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號
市長官邸餐廳,4.0,834,西部料理,台北市中正區,02 2392 9510,100台北市中正區徐州路46號
香色 XIANG SE,4.0,"1,100",現代歐洲料理,台北市中正區,02 2358 1819,100台北市中正區湖口街1-2號
農人餐桌 親子餐廳,4.1,"2,525",有機飲食,台北市中正區,02 2322 3716,100台北市中正區重慶南路二段51號B1
Läbu Café-台北美食/台北早午餐/永康街美食/大安區美食/東門美食/東門早午餐/中正美食/中正早午餐,4.2,738,咖啡廳,台北市中正區,02 2351 6210,100台北市中正區信義路二段161巷2弄7號
Nola Kitchen 紐澳良小廚 台北林森店,4.3,"1,478",現代美式料理,台北市中正區,02 3393 7662,100台北市中正區林森南路2號
Allegro樂格輕食,4.1,272,小菜,台北市中正區,02 2395 2080,100台北市中正區中山南路21-1號
TGI FRIDAYS 星期五美式餐廳 古亭餐廳,4.1,"1,865",美國菜,台北市中正區,02 2351 3579,100台北市中正區羅斯福路二段60號
忠青商行,4.2,"1,138",餐廳,台北市中正區,02 2356 0008,100台北市中正區青島東路6-1號青島會館二館
蘇杭點心店/台北點心/台北美食/台北推薦餐廳/台北小籠包/台北小吃/古亭站附近美食,4.0,"2,015",上海料理,台北市中正區,02 2394 3725,100台北市中正區羅斯福路二段14號
瓦法奇朵,4.3,"3,303",餐廳,台北市中正區,02 2311 0215,100台北市中正區信陽街29號
新東南海鮮餐廳 汀州店,4.3,"8,392",海鮮,台北市中正區,02 2301 4239,100台北市中正區汀州路一段105號
藝奇 日本料理岩板燒 台北衡陽店,4.4,"2,412",日本菜,台北市中正區,02 2331 0200,100台北市中正區衡陽路52號
台北喜來登大飯店 - 安東廳 Antoine Room,4.4,359,牛扒,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號2樓
